 f_left,f_right
         0.234136439537009D+05,        -0.234136437459923D+05
         0.140481863722205D+06,        -0.140481862475953D+06
         0.163895507675906D+06,        -0.163895506221944D+06
         0.187309151629607D+06,        -0.187309149967938D+06
         0.210722795583308D+06,        -0.210722793713930D+06
         0.234136439537009D+06,        -0.234136437459927D+06
         0.257550083490709D+06,        -0.257550081205918D+06
         0.280963727444410D+06,        -0.280963724951907D+06
         0.304377371398111D+06,        -0.304377368697901D+06
         0.327791015351813D+06,        -0.327791012443889D+06
         0.351204659305514D+06,        -0.351204656189888D+06
         0.374618303259215D+06,        -0.374618299935877D+06
         0.398031947212915D+06,        -0.398031943681873D+06
         0.421445591166616D+06,        -0.421445587427861D+06
         0.444859235120317D+06,        -0.444859231173846D+06
         0.468272879074018D+06,        -0.468272874919854D+06
